filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
DSC05867.JPG,6207184,"{}",1,0,"{""name"":""rect"",""x"":1877,""y"":1071,""width"":1076,""height"":1910}","{""SNOWYEGRET"":""""}"
DSC05868.JPG,6086219,"{}",1,0,"{""name"":""rect"",""x"":1644,""y"":1026,""width"":1080,""height"":1948}","{""SNOWYEGRET"":""""}"
DSC05870.JPG,6111235,"{}",1,0,"{""name"":""rect"",""x"":1549,""y"":565,""width"":1125,""height"":1931}","{""SNOWYEGRET"":""""}"
DSC05871.JPG,6201669,"{}",1,0,"{""name"":""rect"",""x"":2051,""y"":1005,""width"":1088,""height"":1885}","{""SNOWYEGRET"":""""}"
DSC05872.JPG,6338221,"{}",1,0,"{""name"":""rect"",""x"":2093,""y"":1246,""width"":1055,""height"":1943}","{""SNOWYEGRET"":""""}"
DSC05873.JPG,6231073,"{}",1,0,"{""name"":""rect"",""x"":1960,""y"":1146,""width"":1005,""height"":1877}","{""SNOWYEGRET"":""""}"
DSC05874.JPG,6163634,"{}",1,0,"{""name"":""rect"",""x"":1798,""y"":851,""width"":1055,""height"":1952}","{""SNOWYEGRET"":""""}"
DSC05875.JPG,6181216,"{}",1,0,"{""name"":""rect"",""x"":2039,""y"":1009,""width"":959,""height"":1865}","{""SNOWYEGRET"":""""}"
DSC05876.JPG,6238932,"{}",1,0,"{""name"":""rect"",""x"":2051,""y"":1188,""width"":893,""height"":1910}","{""SNOWYEGRET"":""""}"
DSC05877.JPG,5176886,"{}",1,0,"{""name"":""rect"",""x"":2130,""y"":602,""width"":1017,""height"":2367}","{""SNOWYEGRET"":""""}"
DSC05878.JPG,5161838,"{}",1,0,"{""name"":""rect"",""x"":2060,""y"":586,""width"":1059,""height"":2338}","{""SNOWYEGRET"":""""}"
DSC05879.JPG,5100850,"{}",1,0,"{""name"":""rect"",""x"":1865,""y"":519,""width"":1109,""height"":2367}","{""SNOWYEGRET"":""""}"
DSC05880.JPG,5096499,"{}",1,0,"{""name"":""rect"",""x"":1553,""y"":922,""width"":1105,""height"":2313}","{""SNOWYEGRET"":""""}"
DSC05881.JPG,5097024,"{}",1,0,"{""name"":""rect"",""x"":1507,""y"":1117,""width"":1063,""height"":2325}","{""SNOWYEGRET"":""""}"
DSC05883.JPG,5111053,"{}",1,0,"{""name"":""rect"",""x"":1906,""y"":399,""width"":1017,""height"":2392}","{""SNOWYEGRET"":""""}"
DSC05884.JPG,5123831,"{}",1,0,"{""name"":""rect"",""x"":1806,""y"":930,""width"":1175,""height"":2346}","{""SNOWYEGRET"":""""}"
DSC05885.JPG,5140331,"{}",1,0,"{""name"":""rect"",""x"":1802,""y"":939,""width"":1038,""height"":2388}","{""SNOWYEGRET"":""""}"
DSC05886.JPG,5053542,"{}",1,0,"{""name"":""rect"",""x"":1773,""y"":482,""width"":1034,""height"":2467}","{""SNOWYEGRET"":""""}"
DSC05887.JPG,5161677,"{}",1,0,"{""name"":""rect"",""x"":1960,""y"":540,""width"":930,""height"":2222}","{""SNOWYEGRET"":""""}"
DSC05888.JPG,5181551,"{}",1,0,"{""name"":""rect"",""x"":2035,""y"":552,""width"":880,""height"":2218}","{""SNOWYEGRET"":""""}"
DSC05889.JPG,5148317,"{}",1,0,"{""name"":""rect"",""x"":1977,""y"":698,""width"":851,""height"":2184}","{""SNOWYEGRET"":""""}"
DSC05890.JPG,5122987,"{}",1,0,"{""name"":""rect"",""x"":1869,""y"":594,""width"":855,""height"":2218}","{""SNOWYEGRET"":""""}"
DSC05891.JPG,5169052,"{}",1,0,"{""name"":""rect"",""x"":2126,""y"":299,""width"":880,""height"":2197}","{""SNOWYEGRET"":""""}"
DSC05892.JPG,5229671,"{}",1,0,"{""name"":""rect"",""x"":2330,""y"":610,""width"":947,""height"":2193}","{""SNOWYEGRET"":""""}"
DSC05893.JPG,5335198,"{}",1,0,"{""name"":""rect"",""x"":2363,""y"":959,""width"":968,""height"":2218}","{""SNOWYEGRET"":""""}"
DSC05894.JPG,5243220,"{}",1,0,"{""name"":""rect"",""x"":2242,""y"":909,""width"":847,""height"":2197}","{""SNOWYEGRET"":""""}"
DSC05895.JPG,5187383,"{}",1,0,"{""name"":""rect"",""x"":2218,""y"":129,""width"":822,""height"":2209}","{""SNOWYEGRET"":""""}"
DSC05896.JPG,5288163,"{}",1,0,"{""name"":""rect"",""x"":2433,""y"":544,""width"":843,""height"":2172}","{""SNOWYEGRET"":""""}"
DSC05897.JPG,5204633,"{}",1,0,"{""name"":""rect"",""x"":2205,""y"":586,""width"":847,""height"":2234}","{""SNOWYEGRET"":""""}"
DSC05898.JPG,5147698,"{}",1,0,"{""name"":""rect"",""x"":1943,""y"":336,""width"":901,""height"":2193}","{""SNOWYEGRET"":""""}"
DSC05899.JPG,5164986,"{}",1,0,"{""name"":""rect"",""x"":2006,""y"":208,""width"":872,""height"":2188}","{""SNOWYEGRET"":""""}"
DSC05900.JPG,5150383,"{}",1,0,"{""name"":""rect"",""x"":2027,""y"":465,""width"":876,""height"":2218}","{""SNOWYEGRET"":""""}"
DSC05901.JPG,5152824,"{}",1,0,"{""name"":""rect"",""x"":1914,""y"":581,""width"":868,""height"":2234}","{""SNOWYEGRET"":""""}"
DSC05902.JPG,5113829,"{}",1,0,"{""name"":""rect"",""x"":1806,""y"":507,""width"":797,""height"":2213}","{""SNOWYEGRET"":""""}"
DSC05903.JPG,5064041,"{}",1,0,"{""name"":""rect"",""x"":1649,""y"":432,""width"":835,""height"":2251}","{""SNOWYEGRET"":""""}"
DSC05904.JPG,5113361,"{}",1,0,"{""name"":""rect"",""x"":1860,""y"":606,""width"":818,""height"":2209}","{""SNOWYEGRET"":""""}"
DSC05905.JPG,5193880,"{}",1,0,"{""name"":""rect"",""x"":1898,""y"":1001,""width"":885,""height"":2188}","{""SNOWYEGRET"":""""}"
DSC05907.JPG,5533577,"{}",1,0,"{""name"":""rect"",""x"":2355,""y"":822,""width"":677,""height"":1773}","{""SNOWYEGRET"":""""}"
DSC05908.JPG,5551075,"{}",1,0,"{""name"":""rect"",""x"":2334,""y"":610,""width"":731,""height"":1769}","{""SNOWYEGRET"":""""}"
DSC05909.JPG,5568421,"{}",1,0,"{""name"":""rect"",""x"":2429,""y"":494,""width"":677,""height"":1798}","{""SNOWYEGRET"":""""}"
DSC05910.JPG,5572823,"{}",1,0,"{""name"":""rect"",""x"":2400,""y"":648,""width"":681,""height"":1781}","{""SNOWYEGRET"":""""}"
